index,Volume Tandon (L),Waktu (s),Delta TDS (ppm)
0,40,0,4.15
1,40,1,4.655877512557
2,40,2,8.737344667447303
3,40,3,12.173727015343598
4,40,4,13.735035869591718
5,40,5,12.277619507628684
6,40,6,11.496315424764465
7,40,7,15.273745888849286
8,40,8,28.217131956231537
9,40,9,30.667430021060234
10,40,10,45.034355348668896
11,40,11,49.25758203540697
12,40,12,51.573294880248945
13,40,13,53.16807089217487
14,40,14,64.61213504970166
15,40,15,68.6834085299086
16,40,16,77.90148865129547
17,40,17,81.46049013837452
18,40,18,90.85183195009992
19,40,19,94.01302868061104
20,40,20,97.54022197294996
21,40,21,110.27469582146242
22,40,22,120.45764467937666
23,40,23,130.07548479091602
24,40,24,132.33940020471096
25,40,25,132.23448235835363
26,40,26,134.9252001222962
27,40,27,135.674000309272
28,40,28,138.99605867460875
29,40,29,142.80269901413286
30,40,30,145.84140263483891
31,40,31,150.63991649781855
32,40,32,153.56753254458604
33,40,33,148.56972334743472
34,40,34,151.67356099436273
35,40,35,155.5160034635299
36,40,36,159.64782329526454
37,40,37,165.40278545431374
38,40,38,168.99536717568006
39,40,39,173.16493756731964
40,40,40,175.93943951999978
41,40,41,180.5592328175332
42,40,42,183.41391629692814
43,40,43,186.93128723061395
44,40,44,192.46012557713578
45,40,45,196.11566595256724
46,40,46,201.4217757140852
47,40,47,206.7777669660558
48,40,48,211.00428599420002
49,40,49,215.37544478938784
50,40,50,220.28143937551675
51,40,51,224.1976633868177
52,40,52,228.4151629666009
53,40,53,234.19101482836655
54,40,54,237.53077719829048
55,40,55,242.25041294880504
56,40,56,245.6286562881466
57,40,57,250.28998881935294
58,40,58,255.72473407086537
59,40,59,259.8372393734026
60,40,60,262.907426749998
0,50,1,4.386752209299999
1,50,2,7.759127222752331
2,50,3,12.143599272246963
3,50,4,15.902609919378415
4,50,5,17.741479838782627
5,50,6,21.648718211618856
6,50,7,27.69180175408578
7,50,8,33.16715794643439
8,50,9,36.81413225916413
9,50,10,40.11102441462263
10,50,11,44.07700067246655
