index,Volume,Waktu,DeltapH_Prediksi
0,40,1,0.15727024838897977
1,40,2,0.2210943902652956
2,40,3,0.3108199415179924
3,40,4,0.43695833227304015
4,40,5,0.614286789999232
0,50,1,0.1350151040141988
1,50,2,0.18641453424791019
2,50,3,0.25738141545416116
3,50,4,0.35536495739698554
4,50,5,0.490650238763071
0,60,1,0.12100570728867661
1,60,2,0.16403517535011786
2,60,3,0.22236586484265644
3,60,4,0.3014388696917196
4,60,5,0.40863012956290223
0,70,1,0.11780211877995288
1,70,2,0.1573836959483134
2,70,3,0.21026470497206673
3,70,4,0.28091376232204984
4,70,5,0.3753009420787596
0,80,1,0.01896041596136055
1,80,2,0.036227155998690815
2,80,3,0.06921825103563313
3,80,4,0.1322534475685883
4,80,5,0.25269309946553103
0,90,1,0.05225963327692319
1,90,2,0.07558531066826443
2,90,3,0.10932222119784485
3,90,4,0.15811733711175252
4,90,5,0.22869177026751142
0,100,1,0.04214714497053839
1,100,2,0.05950165495454421
2,100,3,0.0840020586164133
3,100,4,0.11859074940328927
4,100,5,0.16742168079778239
