Volume Tandon (L);Waktu (s);TDS Awal (ppm);TDS Akhir (ppm);Delta TDS (ppm);Rata Rata Delta TDS (ppm)
40;1;266;270;4;
40;1;270;275;5;
40;1;275;279;4;
40;1;279;283;4;
40;1;283;289;6;
40;1;289;293;4;
40;1;293;295;2;
40;1;295;301;6;
40;1;301;311;10;8,7
40;1;311;316;5;
40;2;316;328;12;
40;2;328;336;8;
40;2;336;342;6;
40;2;342;350;8;
40;2;350;363;13;
40;2;363;372;9;
40;2;372;381;9;
40;2;381;388;7;
40;2;388;403;15;12,3
40;2;403;416;13;
40;3;416;427;11;
40;3;427;441;14;
40;3;441;452;11;
40;3;452;466;14;
40;3;466;478;12;
40;3;478;488;10;
40;3;488;501;13;
40;3;501;511;10;
40;3;524;542;18;13,9
40;3;542;557;15;
40;4;557;570;13;
40;4;570;585;15;
40;4;585;599;14;
40;4;599;613;14;
40;4;613;623;10;
40;4;623;635;12;
40;4;635;649;14;
40;4;649;663;14;
40;4;663;682;19;12,2
40;4;682;697;15;
40;5;697;710;13;
40;5;710;720;10;
40;5;720;729;9;
40;5;729;737;8;
40;5;737;744;7;
40;5;744;758;14;
40;5;758;771;13;
40;5;771;785;14;
40;5;785;805;20;11,8
40;5;805;817;12;
40;6;817;831;14;
40;6;831;842;11;
40;6;842;847;5;
40;6;847;866;19;
40;6;866;873;7;
40;6;873;885;12;
40;6;885;893;8;
40;6;893;903;10;
40;6;903;915;12;14,9
40;6;915;923;8;
40;7;923;934;11;
40;7;934;942;8;
40;7;942;950;8;
40;7;950;957;7;
40;7;957;965;8;
40;7;965;994;29;
40;7;994;1022;28;
40;7;1022;1052;30;
40;7;1052;1084;32;29
40;7;1084;1115;31;
40;8;1115;1146;31;
40;8;1146;1180;34;
40;8;1180;1213;33;
40;8;1213;1231;18;
40;8;1231;1270;39;
40;8;1270;1304;34;
40;8;1304;1311;7;
40;8;1311;1342;31;
40;8;1342;1367;25;29,1
40;8;1367;1400;33;
40;9;1400;1428;28;
40;9;1428;1461;33;
40;9;1461;1489;28;
40;9;1489;1523;34;
40;9;1523;1548;25;
40;9;1548;1577;29;
40;9;1577;1603;26;
40;9;1603;1633;30;
40;9;1652;1706;54;47
40;9;1706;1751;45;
40;10;1751;1800;49;
40;10;1800;1848;48;
40;10;1848;1891;43;
40;10;1891;1938;47;
40;10;1938;1983;45;
40;10;240;284;44;
40;10;284;332;48;
40;10;332;379;47;
40;10;379;431;52;49,3
40;10;431;480;49;
40;11;480;531;51;
40;11;531;581;50;
40;11;581;631;50;
40;11;631;679;48;
40;11;679;728;49;
40;11;728;777;49;
40;11;777;829;52;
40;11;829;872;43;
40;11;872;925;53;51,7
40;11;925;978;53;
40;12;978;1030;52;
40;12;1030;1079;49;
40;12;1079;1132;53;
40;12;1132;1182;50;
40;12;1182;1236;54;
40;12;1236;1287;51;
40;12;1287;1338;51;
40;12;1338;1389;51;
40;12;1389;1446;57;53
40;12;1446;1501;55;
40;13;1501;1557;56;
40;13;1557;1613;56;
40;13;1613;1668;55;
40;13;1668;1723;55;
40;13;1723;1775;52;
40;13;1775;1820;45;
40;13;1820;1873;53;
40;13;1873;1919;46;
40;13;1919;1969;50;65,3
40;13;238;306;68;
40;14;306;375;69;
40;14;375;442;67;
40;14;442;509;67;
40;14;509;576;67;
40;14;576;643;67;
40;14;643;709;66;
40;14;709;775;66;
40;14;775;841;66;
40;14;907;978;71;68,8
40;14;978;1047;69;
40;15;1047;1116;69;
40;15;1193;1260;67;
40;15;1260;1330;70;
40;15;1330;1398;68;
40;15;1398;1469;71;
40;15;1469;1536;67;
40;15;1536;1604;68;
40;15;1604;1672;68;
40;15;1672;1744;72;78,3
40;15;1744;1817;73;
40;16;1817;1886;69;
40;16;1886;1957;71;
40;16;238;321;83;
40;16;321;406;85;
40;16;406;487;81;
40;16;487;571;84;
40;16;571;653;82;
40;16;653;736;83;
40;16;817;903;86;81,6
40;16;903;989;86;
40;17;989;1073;84;
40;17;1073;1158;85;
40;17;1158;1239;81;
40;17;1239;1319;80;
40;17;1319;1400;81;
40;17;1400;1479;79;
40;17;1479;1557;78;
40;17;1557;1633;76;
40;17;1633;1713;80;91,2
40;17;1713;1795;82;
40;18;1795;1878;83;
40;18;1878;1963;85;
40;18;241;341;100;
40;18;341;441;100;
40;18;441;535;94;
40;18;535;632;97;
40;18;632;729;97;
40;18;729;823;94;
40;18;823;921;98;94,2
40;18;921;1020;99;
40;19;1020;1115;95;
40;19;1115;1211;96;
40;19;1211;1300;89;
40;19;1300;1397;97;
40;19;1397;1489;92;
40;19;1489;1585;96;
40;19;1585;1676;91;
40;19;1676;1765;89;
40;19;1765;1859;94;95,7
40;19;1859;1950;91;
40;20;238;340;102;
40;20;340;441;101;
40;20;441;579;138;
40;20;579;638;59;
40;20;638;734;96;
40;20;734;825;91;
40;20;825;925;100;
40;20;925;1010;85;
40;20;257;374;117;112,5
40;20;374;488;114;
40;21;488;600;112;
40;21;600;714;114;
40;21;714;828;114;
40;21;828;940;112;
40;21;940;1051;111;
40;21;1051;1164;113;
40;21;1164;1273;109;
