Volume Tandon (L);Waktu (s);TDS Awal (ppm);TDS Akhir (ppm);Delta TDS (ppm);Rata Rata Delta TDS (ppm);
40;0;260;263;3;2,9;
40;0;263;266;3;;
40;1;266;270;4;;
40;1;270;272;2;;
40;1;272;276;4;;
40;1;276;278;2;;
40;1;278;282;4;;
40;1;282;284;2;;
40;1;284;288;4;;
40;1;288;287;1;;
40;1;287;292;5;5,9;
40;1;292;295;3;;
40;2;295;303;8;;
40;2;303;310;7;;
40;2;310;318;8;;
40;2;318;323;5;;
40;2;323;327;4;;
40;2;327;330;3;;
40;2;330;335;5;;
40;2;335;346;11;;
40;2;346;352;6;8,4;
40;2;352;363;11;;
40;3;363;371;8;;
40;3;371;380;9;;
40;3;380;382;2;;
40;3;382;396;14;;
40;3;396;405;9;;
40;3;405;412;7;;
40;3;412;421;9;;
40;3;421;430;9;;
40;3;438;445;7;10,9;
40;3;445;460;15;;
40;4;460;470;10;;
40;4;470;483;13;;
40;4;483;492;9;;
40;4;492;504;12;;
40;4;504;512;8;;
40;4;512;525;13;;
40;4;525;536;11;;
40;4;536;547;11;;
40;4;547;561;14;13;
40;4;561;575;14;;
40;5;575;585;10;;
40;5;585;599;14;;
40;5;599;614;15;;
40;5;614;627;13;;
40;5;627;640;13;;
40;5;640;652;12;;
40;5;652;664;12;;
40;5;664;677;13;;
40;5;677;693;16;15,4;
40;5;693;710;17;;
40;6;710;724;14;;
40;6;724;740;16;;
40;6;740;755;15;;
40;6;755;773;18;;
40;6;773;786;13;;
40;6;786;802;16;;
40;6;802;817;15;;
40;6;817;831;14;;
40;6;831;850;19;17,7;
40;6;850;867;17;;
40;7;867;890;23;;
40;7;890;902;12;;
40;7;902;920;18;;
40;7;920;936;16;;
40;7;936;954;18;;
40;7;954;969;15;;
40;7;969;990;21;;
40;7;990;1008;18;;
40;7;1008;1027;19;19;
40;7;1027;1045;18;;
40;8;1045;1066;21;;
40;8;1066;1084;18;;
40;8;1084;1107;23;;
40;8;1107;1123;16;;
40;8;1123;1144;21;;
40;8;1144;1162;18;;
40;8;1162;1177;15;;
40;8;1177;1198;21;;
40;8;1198;1214;16;20,3;
40;8;1214;1248;34;;
40;9;1248;1260;12;;
40;9;1260;1281;21;;
40;9;1281;1303;22;;
40;9;1303;1321;18;;
40;9;1321;1342;21;;
40;9;1342;1363;21;;
40;9;1363;1383;20;;
40;9;1383;1401;18;;
40;9;1407;1430;23;24,2;
40;9;1430;1453;23;;
40;10;1453;1476;23;;
40;10;1476;1499;23;;
40;10;1499;1522;23;;
40;10;1522;1545;23;;
40;10;1545;1566;21;;
40;10;245;273;28;;
40;10;273;301;28;;
40;10;301;328;27;;
40;10;328;359;31;29,3;
40;10;359;389;30;;
40;11;389;415;26;;
40;11;415;447;32;;
