index,Volume Tandon (L),Waktu (s),Delta TDS (ppm)
0,40,0,3.0
1,40,1,3.0553133372099994
2,40,2,5.726679404920141
3,40,3,8.339588064364797
4,40,4,10.959798955113886
5,40,5,12.995253560833572
6,40,6,15.304637281031455
7,40,7,17.385449609141396
8,40,8,19.223347613291914
9,40,9,20.23162686620781
10,40,10,24.12285368837071
11,40,11,28.381434600521306
12,40,12,29.43184995349594
13,40,13,30.213087435984438
14,40,14,30.70412221278384
15,40,15,31.820093786628245
16,40,16,39.93859558086811
17,40,17,42.20722827518159
18,40,18,41.60588021805317
19,40,19,41.898959781805864
20,40,20,48.012714295010646
21,40,21,38.06985761327489
22,40,22,35.28956158698044
23,40,23,33.932914488608304
24,40,24,35.74995469149653
25,40,25,61.122424707881905
26,40,26,67.50373836532425
27,40,27,70.62388113577757
28,40,28,73.5318545479975
29,40,29,77.54402221820773
30,40,30,82.64244497210497
31,40,31,84.6011172668664
32,40,32,87.51851048504362
33,40,33,91.07843440080717
34,40,34,94.1253574472698
35,40,35,98.05430075704314
36,40,36,101.25763104931664
37,40,37,103.26626946374056
38,40,38,105.65292208123711
39,40,39,108.74675355265747
40,40,40,111.11549663955284
41,40,41,114.7146522826416
42,40,42,118.93712966149874
43,40,43,121.17956142382768
44,40,44,122.82669561028062
45,40,45,126.8091160514761
46,40,46,127.74587786134103
47,40,47,131.34953336713056
48,40,48,133.52187109802136
49,40,49,136.80129284563594
50,40,50,138.9505280055893
51,40,51,140.79727724369602
52,40,52,142.3089565210835
53,40,53,143.7352156142323
54,40,54,147.42962915008985
55,40,55,149.5741636021449
56,40,56,151.79208212641825
57,40,57,155.8419130003088
58,40,58,159.60469666783982
59,40,59,162.67879419045173
60,40,60,165.67413728579652
0,50,1,1.2321298868999997
1,50,2,2.8457510221402416
2,50,3,4.452303053707107
3,50,4,6.0211758037719365
4,50,5,7.422220109894324
5,50,6,9.20523325341752
6,50,7,11.278112573376216
7,50,8,12.716540264801447
8,50,9,13.943612810691828
9,50,10,15.540585455615973
10,50,11,17.528350437328086
11,50,12,19.431200286064346
12,50,13,21.191863730397486
13,50,14,22.700915922181807
14,50,15,24.088310956604634
15,50,16,25.06517566437563
16,50,17,27.25180425116232
17,50,18,29.97732696798463
18,50,19,31.47648276270358
19,50,20,32.76086635301389
20,50,21,34.36974257697232
21,50,22,35.32821229272961
22,50,23,37.204870484211355
23,50,24,38.604823556064034
24,50,25,39.72773661986001
25,50,26,41.238083519200124
26,50,27,44.34721506185688
27,50,28,47.46741492591545
28,50,29,49.788442213308414
29,50,30,51.374579836982626
30,50,31,55.10539996531219
31,50,32,56.66049947182461
32,50,33,59.46617856354679
33,50,34,60.931313773301625
34,50,35,61.991116838101036
35,50,36,62.33942034408305
36,50,37,63.981560508821055
37,50,38,64.78191559639377
38,50,39,65.95257321362882
39,50,40,65.61620035197105
40,50,41,66.89148587314568
41,50,42,69.38273967611967
42,50,43,70.20954136325139
43,50,44,72.457448451256
44,50,45,74.94488406324731
45,50,46,75.43211143244419
46,50,47,76.36615725061753
47,50,48,79.05861424850411
48,50,49,80.0602974300441
49,50,50,82.06843050086657
50,50,51,83.28905207988713
51,50,52,83.63410069819399
