index,Volume,Waktu,DeltapH_Prediksi
0,40,1,0.15727024919757118
1,40,2,0.22109439105286494
2,40,3,0.3108199421343073
3,40,4,0.4369583324493943
4,40,5,0.6142867892770283
0,50,1,0.1350152471525438
1,50,2,0.1864146681595676
2,50,3,0.2573815123693382
3,50,4,0.35536496973952214
4,50,5,0.49065008809473337
0,60,1,0.12100570756689723
1,60,2,0.16403517560100922
2,60,3,0.22236586501160097
3,60,4,0.30143886968871164
4,60,5,0.40863012924428654
0,70,1,0.1178020867328941
1,70,2,0.1573836673023785
2,70,3,0.21026468563081305
3,70,4,0.28091376177225785
4,70,5,0.37530097513187294
0,80,1,0.018961139979990608
1,80,2,0.03622815810116733
2,80,3,0.06921943726950039
3,80,4,0.1322543222464273
4,80,5,0.2526921113900596
0,90,1,0.052259281894535096
1,90,2,0.07558496046777693
2,90,3,0.10932194323766316
3,90,4,0.15811726564775894
4,90,5,0.22869214501220744
0,100,1,0.04214714500028029
1,100,2,0.05950165497690217
2,100,3,0.08400205862026389
3,100,4,0.11859074936960057
4,100,5,0.16742168069498717
