Volume,Waktu,pHAwal,pHAkhir,DeltapH,Rata-rata Delta pH
40,1,6.8,6.6,0.2,0.13
40,1,6.6,6.5,0.1,
40,1,6.5,6.4,0.1,
40,1,6.4,6.2,0.2,
40,1,6.2,6.1,0.1,
40,1,6.1,6,0.1,
40,1,6,5.9,0.1,
40,1,6.9,6.7,0.2,
40,1,6.7,6.6,0.1,
40,1,6.6,6.5,0.1,
40,2,6.3,6.2,0.1,0.21
40,2,6.2,5.9,0.3,
40,2,6.7,6.5,0.2,
40,2,6.5,6.3,0.2,
40,2,6.3,6,0.3,
40,2,6,5.8,0.2,
40,2,6.6,6.5,0.1,
40,2,6.5,6.3,0.2,
40,2,6.3,6,0.3,
40,2,6,5.8,0.2,
40,3,6.7,6.3,0.4,0.32
40,3,6.3,6.1,0.2,
40,3,6.1,5.7,0.4,
40,3,6.6,6.4,0.2,
40,3,6.4,6.1,0.3,
40,3,6.1,5.6,0.5,
40,3,6.7,6.4,0.3,
40,3,6.4,6.1,0.3,
40,3,6.1,5.7,0.4,
40,3,6.6,6.4,0.2,
40,4,6.4,5.9,0.5,0.48
40,4,6.7,6.3,0.4,
40,4,6.3,5.8,0.5,
40,4,6.9,6.4,0.5,
40,4,6.4,5.8,0.6,
40,4,6.7,6.3,0.4,
40,4,6.3,5.8,0.5,
40,4,6.8,6.4,0.4,
40,4,6.4,5.8,0.6,
40,4,6.7,6.3,0.4,
40,5,6.3,5.6,0.7,0.59
40,5,6.7,6.2,0.5,
40,5,6.9,6.2,0.7,
40,5,6.7,6.2,0.5,
40,5,6.8,6.2,0.6,
40,5,6.8,6.2,0.6,
40,5,6.8,6.2,0.6,
40,5,6.8,6.2,0.6,
40,5,6.8,6.3,0.5,
40,5,6.8,6.2,0.6,
50,1,6.6,6.4,0.2,0.12
50,1,6.4,6.3,0.1,
50,1,6.3,6.2,0.1,
50,1,6.2,6.1,0.1,
50,1,6.1,6,0.1,
50,1,6,5.9,0.1,
50,1,5.9,5.8,0.1,
50,1,6.5,6.3,0.2,
50,1,6.3,6.2,0.1,
50,1,6.2,6.1,0.1,
50,2,6.1,5.9,0.2,0.18
50,2,5.9,5.8,0.1,
50,2,6.5,6.2,0.3,
50,2,6.2,6,0.2,
50,2,6,5.9,0.1,
50,2,5.9,5.7,0.2,
50,2,6.5,6.3,0.2,
50,2,6.3,6.1,0.2,
50,2,6.1,5.9,0.2,
50,2,5.9,5.8,0.1,
50,3,6.5,6.3,0.2,0.27
50,3,6.3,6,0.3,
50,3,6,5.6,0.4,
50,3,6.5,6.3,0.2,
50,3,6.3,6,0.3,
50,3,6,5.7,0.3,
50,3,6.5,6.3,0.2,
50,3,6.3,6,0.3,
50,3,6,5.7,0.3,
50,3,6.5,6.3,0.2,
50,4,6.3,6,0.3,0.37
50,4,6,5.6,0.4,
50,4,6.5,6.1,0.4,
50,4,6.1,5.6,0.5,
50,4,6.5,6.2,0.3,
50,4,6.2,5.8,0.4,
50,4,6.5,6.2,0.3,
50,4,6.2,5.8,0.4,
50,4,6.5,6.2,0.3,
50,4,6.2,5.8,0.4,
50,5,6.5,6.1,0.4,0.48
50,5,6.1,5.6,0.5,
50,5,6.5,6.1,0.4,
50,5,6.1,5.8,0.3,
50,5,6.7,6.1,0.6,
50,5,6.5,5.9,0.6,
50,5,6.5,6,0.5,
50,5,6.5,6,0.5,
50,5,6.5,5.9,0.6,
50,5,6.5,6.1,0.4,
60,1,6.7,6.5,0.2,0.1
60,1,6.5,6.4,0.1,
60,1,6.4,6.4,0,
60,1,6.4,6.3,0.1,
60,1,6.3,6.2,0.1,
60,1,6.2,6.1,0.1,
60,1,6.1,6,0.1,
60,1,6,5.9,0.1,
60,1,5.9,5.8,0.1,
60,1,5.8,5.7,0.1,
60,2,6.6,6.5,0.1,0.16
60,2,6.5,6.3,0.2,
60,2,6.3,6.2,0.1,
60,2,6.2,6,0.2,
60,2,6,5.8,0.2,
60,2,6.6,6.4,0.2,
60,2,6.4,6.3,0.1,
60,2,6.3,6.1,0.2,
60,2,6.1,6,0.1,
60,2,6,5.8,0.2,
60,3,6.6,6.4,0.2,0.21
60,3,6.4,6.2,0.2,
60,3,6.2,5.9,0.3,
60,3,5.9,5.7,0.2,
60,3,6.5,6.4,0.1,
60,3,6.4,6.2,0.2,
60,3,6.2,6,0.2,
60,3,6,5.7,0.3,
60,3,6.6,6.5,0.1,
60,3,6.5,6.2,0.3,
60,4,6.2,5.9,0.3,0.36
60,4,5.9,5.5,0.4,
60,4,6.6,6.3,0.3,
60,4,6.3,5.9,0.4,
60,4,6.7,6.3,0.4,
60,4,6.3,5.9,0.4,
60,4,6.6,6.3,0.3,
60,4,6.3,5.9,0.4,
60,4,6.6,6.2,0.4,
60,4,6.2,5.9,0.3,
60,5,6.5,6.2,0.3,0.38
60,5,6.2,5.8,0.4,
60,5,6.5,6.2,0.3,
60,5,6.2,5.8,0.4,
60,5,6.6,6.1,0.5,
60,5,6.1,5.8,0.3,
60,5,6.5,6.2,0.3,
60,5,6.2,5.8,0.4,
60,5,5.8,6.5,0.7,
60,5,6.5,6.3,0.2,
70,1,6.9,6.8,0.1,0.11
70,1,6.8,6.7,0.1,
70,1,6.7,6.7,0,
70,1,6.7,6.6,0.1,
70,1,6.6,6.5,0.1,
70,1,6.7,6.5,0.2,
70,1,6.5,6.3,0.2,
70,1,6.3,6.2,0.1,
70,1,6.2,6.1,0.1,
70,1,6.1,6,0.1,
70,2,6.5,6.4,0.1,0.16
70,2,6.4,6.3,0.1,
70,2,6.3,6.1,0.2,
